S.No,name,title,culture,dateOfBirth,mother,father,heir,house,spouse,book1_A_Game_Of_Thrones,book2_A_Clash_Of_Kings,book3_A_Storm_Of_Swords,book4_A_Feast_For_Crows,book5_A_Dance_with_Dragons,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,popularity,isAlive,name1,gender_guess
1,Viserys II Targaryen,,,,Rhaenyra Targaryen,Daemon Targaryen,Aegon IV Targaryen,,,0,0,0,0,0,1,0,0,,0,0,,11,0.605351171,0,Viserys,unknown
2,Walder Frey,lord of the crossing,Rivermen,208,,,,House Frey,Perra Royce,1,1,1,1,1,,,,1,1,1,97,1,0.89632107,1,Walder,unknown
3,Addison Hill,ser,,,,,,House Swyft,,0,0,0,1,0,,,,,0,1,,0,0.267558528,1,Addison,unknown
4,Aemma Arryn,queen,,82,,,,House Arryn,Viserys I Targaryen,0,0,0,0,0,,,,0,1,1,23,0,0.183946488,0,Aemma,unknown
5,Sylva Santagar,greenstone,Dornish,276,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1,1,1,29,0,0.043478261,1,Sylva,unknown
6,Tommen Baratheon,,,,Cersei Lannister,Robert Baratheon,Myrcella Baratheon,,,0,0,0,0,0,1,1,1,,0,0,,5,1,1,Tommen,unknown
7,Valarr Targaryen,hand of the king,Valyrian,183,,,,House Targaryen,Kiera of Tyrosh,0,0,0,0,0,,,,1,1,1,26,0,0.431438127,0,Valarr,unknown
8,Viserys I Targaryen,,,,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,,,0,0,0,0,0,1,1,1,,0,0,,5,0.678929766,0,Viserys,unknown
9,Wilbert,ser,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0.006688963,0,Wilbert,male
10,Wilbert Osgrey,ser,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0.02006689,1,Wilbert,unknown
11,Will,,,,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,0.163879599,0,Will,mostly_male
12,Will (orphan),,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.003344482,1,Will,unknown
13,Will (squire),,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.003344482,1,Will,unknown
14,Will (Standfast),,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.003344482,1,Will,unknown
15,Will (Treb),,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.003344482,1,Will,unknown
16,Will Humble,,Ironborn,,,,,House Humble,,0,0,0,1,0,,,,,0,0,,0,0.013377926,1,Will,unknown
17,Willam,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.013377926,1,Willam,unknown
18,Willem Wylde,ser,,,,,,House Wylde,,0,0,0,0,0,,,,,0,1,,0,0.02006689,1,Willem,unknown
19,Willifer,archmaester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Willifer,unknown
20,Willit,,,,,,,House Swyft,,0,1,0,0,0,,,,,0,0,,0,0.010033445,1,Willit,unknown
21,Willis Wode,ser,,,,,,House Wode,,1,0,0,1,0,,,,,0,1,,0,0.02006689,1,Willis,unknown
22,Willis Fell,ser,,,,,,House Fell,,0,0,0,0,0,,,,,0,1,,0,0.023411371,1,Willis,unknown
23,Willow Heddle,,,289,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,16,0,0.033444816,1,Willow,unknown
24,Willum,ser,,,,,,,,1,0,0,0,0,,,,,0,1,,0,0,1,Willum,unknown
25,Wolmer,,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,0.003344482,1,Wolmer,unknown
26,Willow Witch-eye,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.050167224,0,Willow,unknown
27,Woth,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.030100334,0,Woth,unknown
28,Wulfe,,Ironborn,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0.023411371,1,Wulfe,unknown
29,Wyl the Whittler,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.006688963,1,Wyl,unknown
30,Wyl (guard),,Northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0.026755853,0,Wyl,unknown
31,Wyl Waynwood,,,,,,,House Waynwood,,0,0,0,0,0,,,,,0,0,,0,0.013377926,0,Wyl,unknown
32,Wun Weg Wun Dar Wun,,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.050167224,1,Wun,unknown
33,Wylla,,,,,,,House Dayne,,1,0,1,0,0,,,,,0,0,,0,0.026755853,1,Wylla,unknown
34,Wynafryd Manderly,,,280,,,,House Manderly,,0,0,0,1,1,,,,,0,0,25,0,0.056856187,1,Wynafryd,unknown
35,Xhondo,,Summer Isles,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.02006689,1,Xhondo,unknown
36,Ygon Farwynd,,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Ygon,unknown
37,Yna,,,,,,,Happy Port,,0,0,0,1,0,,,,,0,0,,0,0.02006689,1,Yna,unknown
38,Yohn Farwynd,,Ironborn,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Yohn,unknown
39,Yorkel,,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,,0,0,1,Yorkel,unknown
40,Yorko Terys,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.023411371,1,Yorko,unknown
41,Yormwell,maester,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.003344482,1,Yormwell,unknown
42,Young Henly,,,240,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,59,0,0.013377926,0,Young,unknown
43,Ysilla,,,,,,,,Yandry,0,0,0,0,1,,,,1,1,0,,0,0.040133779,1,Ysilla,unknown
44,Zarabelo,archmaester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Zarabelo,unknown
45,Zei,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.013377926,1,Zei,unknown
46,Zekko,khal,Dothraki,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.013377926,1,Zekko,unknown
47,Zharaq zo Loraq,,Ghiscari,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,0.010033445,1,Zharaq,unknown
48,Wenda,,,,,,,Kingswood Brotherhood,,0,0,1,1,0,,,,,0,0,,0,0.016722408,1,Wenda,female
49,Wex Pyke,,Ironborn,286,,,,House Botley,,0,1,1,1,1,,,,,0,0,19,0,0.113712375,1,Wex,unknown
50,Timett,red hand,Vale mountain clans,278,,,,Burned Men,,1,1,1,0,1,,,,,0,1,27,0,0.073578595,1,Timett,unknown
51,Joffrey Baratheon,,,,Cersei Lannister,Robert Baratheon,Tommen Baratheon,,,0,0,0,0,0,1,1,1,,0,0,,5,1,0,Joffrey,unknown
52,Laenor Velaryon,ser,Valyrian,94,,,,House Velaryon,Rhaenyra Targaryen,0,0,0,0,0,,,,1,1,1,26,0,0.193979933,0,Laenor,unknown
53,Leobald Tallhart,castellan,Northmen,,,,,House Tallhart,Berena Hornwood,0,1,1,1,1,,,,1,1,1,,0,0.110367893,0,Leobald,unknown
54,Maegor I Targaryen,,,,Visenya Targaryen,Aegon I Targaryen,Jaehaerys Targaryen,,,0,0,0,0,0,0,0,1,,0,0,,0,0.705685619,0,Maegor,unknown
55,Margaery Tyrell,seven kingdoms,Reach,283,,,,House Tyrell,Renly Baratheon,1,1,1,1,1,,,,0,1,1,22,3,1,1,Margaery,unknown
56,Naerys Targaryen,princessqueen,Valyrian,138,,,,House Targaryen,Aegon IV Targaryen,1,0,0,0,0,,,,0,1,1,100,12,0.220735786,0,Naerys,unknown
57,Quence,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.02006689,1,Quence,unknown
58,Quellon Botley,,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.046822742,1,Quellon,unknown
59,Quellon Greyjoy,lord of the iron islands,Ironborn,,,,,House Greyjoy,Stonetree,0,0,0,1,0,,,,1,1,1,,0,0.090301003,0,Quellon,unknown
60,Quentyn Blackwood,lord,,,,,,House Blackwood,,0,0,0,0,0,,,,,0,1,,0,0.02006689,0,Quentyn,unknown
61,Quenton Greyjoy,,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0.060200669,1,Quenton,unknown
62,Quhuru Mo,,Summer Isles,,,,,,,0,1,0,1,0,,,,,0,0,,0,0.040133779,1,Quhuru,unknown
63,Quickfinger,,,,,,,House Blackfyre,,0,0,0,0,0,,,,,0,0,,0,0.010033445,1,Quickfinger,unknown
64,Quill,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Quill,unknown
65,Quentin Tyrell,ser,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,1,,0,0.127090301,1,Quentin,unknown
66,Quort,,,285,,,,wildling,,0,0,1,0,0,,,,,0,0,14,0,0.010033445,0,Quort,unknown
67,Qyle,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.013377926,0,Qyle,unknown
68,Rafe,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.006688963,1,Rafe,unknown
69,Racallio Ryndoon,,Tyroshi,,,,,Kingdom of the Three Daughters,,0,0,0,0,0,,,,,0,0,,0,0.010033445,1,Racallio,unknown
70,Ragnor Pyke,,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Ragnor,unknown
71,Rainbow Knight,,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0.003344482,1,Rainbow,unknown
72,Randa,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.003344482,1,Randa,female
73,Rast,,,,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0.066889632,0,Rast,unknown
